id,filename,collection
33,"INTM413130 - Transfer pricing_ the main thin capitalisation legislation_ Evaluating guarantees_ establishing the arm’s length value of a guarantee - HMRC internal manual - GOV.UK.pdf",UK
34,"INTM413140 - Transfer pricing_ the main thin capitalisation legislation_ compensating adjustments for lenders - HMRC internal manual - GOV.UK.pdf",UK
35,"INTM413150 - Transfer pricing_ the main thin capitalisation legislation_ Removal of disallowed interest from obligation to deduct tax - HMRC internal manual - GOV.UK.pdf",UK
36,"INTM413160 - Transfer pricing_ the main thin capitalisation legislation_ Claims to compensating adjustments for guarantors - HMRC internal manual - GOV.UK.pdf",UK
37,"INTM413170 - Transfer pricing_ the main thin capitalisation legislation_ Interaction between claims by lenders and guarantors - HMRC internal manual - GOV.UK.pdf",UK
38,"INTM413180 - Transfer pricing_ the main thin capitalisation legislation_ The acting together rules - HMRC internal manual - GOV.UK.pdf",UK
39,"INTM413190 - Transfer pricing_ the main thin capitalisation legislation_ Treatment of interest when it is paid - HMRC internal manual - GOV.UK.pdf",UK
40,"INTM413200 - Transfer pricing_ the main thin capitalisation legislation_ Interest which exceeds the arm’s length amount - HMRC internal manual - GOV.UK.pdf",UK
41,"INTM413210 - Transfer pricing_ the main thin capitalisation legislation_ Payments of yearly interest made overseas - HMRC internal manual - GOV.UK.pdf",UK
42,"INTM413220 - Transfer pricing_ the main thin capitalisation legislation_ Consequences of failing to deduct withholding tax - HMRC internal manual - GOV.UK.pdf",UK
43,"INTM413230 - Transfer pricing_ the main thin capitalisation legislation_ The interaction between UK taxing rights and double taxation agreements - HMRC internal manual - GOV.UK.pdf",UK
44,"INTM413240 - Transfer pricing_ the main thin capitalisation legislation_ Evolution of the thin capitalisation legislation_ pre 29 November 1994 - HMRC internal manual - GOV.UK.pdf",UK
45,"INTM413250 - Transfer pricing_ the main thin capitalisation legislation_ Evolution of the thin capitalisation legislation_ 29 November 1994 - 31 March 2004 - HMRC internal manual - GOV.UK.pdf",UK
46,"INTM413260-Transfer pricing_ the main thin capitalisation legislation_ Evolution of the thin capitalisation legislation - interest re-characterised as a distribution- HMRC internal manual - GOV.UK.pdf",UK
47,"INTM421005 - Transfer pricing_ Methodologies_ OECD Guidelines_ Importance of Article 9 of OECD Model Tax Convention - HMRC internal manual - GOV.UK.pdf",UK
48,"INTM421010 - Transfer pricing_ Methodologies_ OECD Guidelines_ Overview - HMRC internal manual - GOV.UK.pdf",UK
49,"INTM421020 - Transfer pricing_ Methodologies_ OECD Guidelines_ Comparability - HMRC internal manual - GOV.UK.pdf",UK
50,"INTM421030 - Transfer pricing_ Methodologies_ OECD Guidelines_ Comparable uncontrolled price - HMRC internal manual - GOV.UK.pdf",UK
51,"INTM421040 - Transfer pricing_ Methodologies_ OECD Guidelines_ Comparable uncontrolled price_ the search for comparables - HMRC internal manual - GOV.UK.pdf",UK
52,"INTM421041 - Transfer pricing_ Methodologies_ OECD Guidelines_ Comparable uncontrolled price_ Commodity Transactions - HMRC internal manual - GOV.UK.pdf",UK
53,"INTM421050 - Transfer pricing_ Methodologies_ OECD Guidelines_ Resale minus - HMRC internal manual - GOV.UK.pdf",UK
54,"INTM421060 - Transfer pricing_ Methodologies_ OECD Guidelines_ Cost plus - HMRC internal manual - GOV.UK.pdf",UK
55,"INTM421070 - Transfer pricing_ Methodologies_ OECD Guidelines_ Profit split - HMRC internal manual - GOV.UK.pdf",UK
56,"INTM421080 - Transfer pricing_ Methodologies_ OECD Guidelines_ Transactional net margin method - HMRC internal manual - GOV.UK.pdf",UK
57,"INTM421090 - Transfer pricing_ Methodologies_ OECD Guidelines_ Cost contribution arrangements - HMRC internal manual - GOV.UK.pdf",UK
58,"INTM421100 - Transfer pricing_ Methodologies_ OECD Guidelines_ Which transactions to review - HMRC internal manual - GOV.UK.pdf",UK
59,"INTM421110 - Transfer pricing_ Methodologies_ OECD Guidelines_ Intangibles - HMRC internal manual - GOV.UK.pdf",UK
60,"INTM422010 - Transfer pricing_ methodologies_ Advance Pricing Agreements_ introduction - HMRC internal manual - GOV.UK.pdf",UK
61,"INTM422020 - Transfer pricing_ methodologies_ Advance Pricing Agreements_ what is an APA_ - HMRC internal manual - GOV.UK.pdf",UK
62,"INTM422030 - Transfer pricing_ methodologies_ Advance Pricing Agreements_ types of agreement - HMRC internal manual - GOV.UK.pdf",UK
63,"INTM422040 - Transfer pricing_ methodologies_ Advance Pricing Agreements_ who may apply_ - HMRC internal manual - GOV.UK.pdf",UK
64,"INTM422050 - Transfer pricing_ methodologies_ Advance Pricing Agreements_ expression of interest - HMRC internal manual - GOV.UK.pdf",UK
65,"INTM422060 - Transfer pricing_ methodologies_ Advance Pricing Agreements_ term of agreement - HMRC internal manual - GOV.UK.pdf",UK
66,"INTM422070 - Transfer pricing_ methodologies_ Advance Pricing Agreements_ formal application - HMRC internal manual - GOV.UK.pdf",UK
67,"INTM422080 - Transfer pricing_ methodologies_ Advance Pricing Agreements_ evaluation - HMRC internal manual - GOV.UK.pdf",UK
68,"INTM422090 - Transfer pricing_ methodologies_ Advance Pricing Agreements_ reaching agreement - HMRC internal manual - GOV.UK.pdf",UK
69,"INTM422100 - Transfer pricing_ methodologies_ Advance Pricing Agreements_ monitoring and review - HMRC internal manual - GOV.UK.pdf",UK
70,"INTM422110 - Transfer pricing_ methodologies_ Advance Pricing Agreements_ revocation and penalties - HMRC internal manual - GOV.UK.pdf",UK
71,"INTM422120 - Transfer pricing_ methodologies_ Advance Pricing Agreements_ revising and renewing - HMRC internal manual - GOV.UK.pdf",UK
72,"INTM422130 - Transfer pricing_ methodologies_ Advance Pricing Agreements_ information to set out in the formal application - HMRC internal manual - GOV.UK.pdf",UK
73,"INTM422140 - Transfer pricing_ methodologies_ Advance Pricing Agreements_ Sample agreement - HMRC internal manual - GOV.UK.pdf",UK
74,"INTM423010 - Transfer Pricing_ methodologies_ Mutual Agreement Procedure_ Introduction to MAP - HMRC internal manual - GOV.UK.pdf",UK
75,"INTM423020 - Transfer Pricing_ methodologies_ Mutual Agreement Procedure_ Eligibility for MAP - HMRC internal manual - GOV.UK.pdf",UK
76,"INTM423030 - Transfer Pricing_ methodologies_ Mutual Agreement Procedure_ Access to MAP - HMRC internal manual - GOV.UK.pdf",UK
77,"INTM423040 - Transfer Pricing_ methodologies_ Mutual Agreement Procedure_ The MAP process - HMRC internal manual - GOV.UK.pdf",UK
78,"INTM423050 - Transfer Pricing_ methodologies_ Mutual Agreement Procedure_ The MAP process continued - HMRC internal manual - GOV.UK.pdf",UK
79,"INTM423060 - Transfer Pricing_ methodologies_ Mutual Agreement Procedure_ Concluding the MAP - HMRC internal manual - GOV.UK.pdf",UK
80,"INTM423070 - Transfer Pricing_ methodologies_ Mutual Agreement Procedure_ Methods of giving relief - HMRC internal manual - GOV.UK.pdf",UK
81,"INTM423080 - Transfer pricing_ methodologies_ Mutual Agreement Procedure_ Arbitration - HMRC internal manual - GOV.UK.pdf",UK
82,"INTM423090 - Transfer Pricing_ methodologies_ Mutual Agreement Procedure_ Other matters - HMRC internal manual - GOV.UK.pdf",UK
83,"INTM423100 - Transfer Pricing_ methodologies_ Mutual Agreement Procedure_ Advice on responding to MAP requests - HMRC internal manual - GOV.UK.pdf",UK
84,"INTM423110 - Transfer Pricing_ methodologies_ Mutual Agreement Procedure_ HMRC contacts - HMRC internal manual - GOV.UK.pdf",UK
85,"INTM423120 - Transfer Pricing_ methodologies_ Mutual Agreement Procedure_ Links to other relevant documents - HMRC internal manual - GOV.UK.pdf",UK
86,"INTM423130 - Transfer Pricing_ methodologies_ Mutual Agreement Procedures_ Information requirements - HMRC internal manual - GOV.UK.pdf",UK
87,"INTM440010 - Transfer pricing_ Types of transactions_ overview - HMRC internal manual - GOV.UK.pdf",UK
88,"INTM440020 - Transfer pricing_ Types of transactions_ tangible goods - HMRC internal manual - GOV.UK.pdf",UK
89,"INTM440030 - Transfer pricing_ Types of transactions_ transfer of trading stock - HMRC internal manual - GOV.UK.pdf",UK
90,"INTM440040 - Transfer pricing_ Types of transactions_ land and buildings - HMRC internal manual - GOV.UK.pdf",UK
91,"INTM440050 - Transfer pricing_ Types of transactions_ Leasing - HMRC internal manual - GOV.UK.pdf",UK
92,"INTM440060 - Transfer pricing_ Types of transactions_ Services_ introduction - HMRC internal manual - GOV.UK.pdf",UK
93,"INTM440070 - Transfer pricing_ Types of transactions_ Services_ arm’s length price - HMRC internal manual - GOV.UK.pdf",UK
94,"INTM440071 - Transfer Pricing_ Types of transactions_ Services_ Low Value-Adding Services - HMRC internal manual - GOV.UK.pdf",UK
95,"INTM440080 - Transfer pricing_ Types of transactions_ Services_ particular types - HMRC internal manual - GOV.UK.pdf",UK
96,"INTM440090 - Transfer pricing_ Types of transactions_ centrally provided services - HMRC internal manual - GOV.UK.pdf",UK
97,"INTM440100 - Transfer pricing_ Types of transactions_ particular elements of a transaction - HMRC internal manual - GOV.UK.pdf",UK
98,"INTM440110 - Transfer pricing_ Types of transactions_ intangibles_ what are intangibles_ - HMRC internal manual - GOV.UK.pdf",UK
99,"INTM440120 - Transfer pricing_ Types of transactions_ intangibles_ how are intangibles exploited_ - HMRC internal manual - GOV.UK.pdf",UK
100,"INTM440130 - Transfer pricing_ Types of transactions_ intangibles_ fragmentation - HMRC internal manual - GOV.UK.pdf",UK
101,"INTM440140 - Transfer pricing_ Types of transactions_ intangibles_ establishing an arm’s length price for valuable intangibles - HMRC internal manual - GOV.UK.pdf",UK
102,"INTM440150 - Transfer pricing_ Types of transactions_ intangibles_ branded goods - HMRC internal manual - GOV.UK.pdf",UK
103,"INTM440160 - Transfer pricing_ Types of transactions_ intangibles_ establishing an arm’s length price for valuable intangibles_ product line income statements - HMRC internal manual - GOV.UK.pdf",UK
104,"INTM440170 - Transfer pricing_ Types of transactions_ intangibles_ establishing an arm’s length price for valuable intangibles_ profit split method - HMRC internal manual - GOV.UK.pdf",UK
105,"INTM440175 - Transfer Pricing_ Types of transactions_ Intangibles_ Establising an arm_s length price for valuable Intangibles_ Uncertainty in valuation - HMRC internal manual - GOV.UK.pdf",UK
106,"INTM440176 - Transfer Pricing_ Types of transactions_ Intangibles_ Establishing an arm_s length price for valuable intangibles_ Hard to Value Intangibles - HMRC internal manual - GOV.UK.pdf",UK
107,"INTM440180 - Transfer pricing_ Types of transactions_ intangibles_ royalties - HMRC internal manual - GOV.UK.pdf",UK
108,"INTM440190 - Transfer pricing_ Types of transactions_ series of transactions - HMRC internal manual - GOV.UK.pdf",UK
109,"INTM440200 - Transfer pricing_ Types of transactions_ setting aside a provision between connected parties - HMRC internal manual - GOV.UK.pdf",UK
110,"INTM440201 - Transfer Pricing_ Types of transactions_ difference between accurate delineation and disregard - HMRC internal manual - GOV.UK.pdf",UK
111,"INTM440210 - Transfer pricing_ Types of transactions_ share options_ general - HMRC internal manual - GOV.UK.pdf",UK
112,"INTM440220 - Transfer pricing_ Types of transactions_ share options_ summary of treatment - HMRC internal manual - GOV.UK.pdf",UK
113,"INTM440230 - Transfer pricing_ Types of transactions_ share options_ transfer pricing issues - HMRC internal manual - GOV.UK.pdf",UK
114,"INTM440240 - Transfer pricing_ Types of transactions_ share options_ transfer pricing issues_ other situations - HMRC internal manual - GOV.UK.pdf",UK
115,"INTM440250 - Transfer pricing_ Types of transactions_ share options_ Application of the arbitrage receipts rule to the provision of share plans - HMRC internal manual - GOV.UK.pdf",UK
116,"INTM440260 - Transfer pricing_ Types of transactions_ charities - HMRC internal manual - GOV.UK.pdf",UK
117,"INTM441000 - Transfer Pricing_ Transactions and Structures_ Business Structures_ contents - HMRC internal manual - GOV.UK.pdf",UK
118,"INTM441010 - Transfer Pricing_ Transactions and Structures_ business structures_ general overview - HMRC internal manual - GOV.UK.pdf",UK
119,"INTM441020 - Transfer Pricing_ Transactions and Structures_ business structures_ tax-efficient structures - HMRC internal manual - GOV.UK.pdf",UK
120,"INTM441030 - Transfer Pricing_ Transactions and Structures_ business structures_ transferring risk - HMRC internal manual - GOV.UK.pdf",UK
121,"INTM441040 - Transfer Pricing_ Transactions and Structures_ business structures_ marketing and distribution - commissionaires_ overview - HMRC internal manual - GOV.UK.pdf",UK
122,"INTM441050 - Transfer Pricing_ Transactions and Structures_ business structures_ marketing and distribution - commissionaires_ practicalities - HMRC internal manual - GOV.UK.pdf",UK
123,"INTM441060 - Transfer Pricing_ Transactions and Structures_ business structures_ marketing and distribution - commissionaires_ evidence gathering - HMRC internal manual - GOV.UK.pdf",UK
124,"INTM441070 - Transfer Pricing_ Transactions and Structures_ business structures_ marketing and distribution - commissionaires_ challenges - HMRC internal manual - GOV.UK.pdf",UK
125,"INTM441080 - Transfer Pricing_ Transactions and Structures_ business structures_ marketing and distribution - other structures - HMRC internal manual - GOV.UK.pdf",UK
126,"INTM441085 - Transfer Pricing_ Transactions and Structures_ Business structures - HMRC internal manual - GOV.UK.pdf",UK
127,"INTM441090 - Transfer Pricing_ Transactions and Structures_ business structures_ manufacturing_ overview - HMRC internal manual - GOV.UK.pdf",UK
128,"INTM441100 - Transfer Pricing_ Transactions and Structures_ business structures_ manufacturing_ arm’s length reward - HMRC internal manual - GOV.UK.pdf",UK
129,"INTM441110 - Transfer Pricing_ Transactions and Structures_ business structures_ services - HMRC internal manual - GOV.UK.pdf",UK
130,"INTM441120 - Transfer Pricing_ Transactions and Structures_ business structures_ research and development - HMRC internal manual - GOV.UK.pdf",UK
131,"INTM441130 - Transfer Pricing_ Transactions and Structures_ business structures_ valuable intangibles - HMRC internal manual - GOV.UK.pdf",UK
132,"INTM441140 - Transfer Pricing_ Transactions and Structures_ business structures_ other legislation - HMRC internal manual - GOV.UK.pdf",UK
133,"INTM450010 - Transfer pricing records_ overview - HMRC internal manual - GOV.UK.pdf",UK
134,"INTM450020 - Transfer pricing records_ who is in scope_ - HMRC internal manual - GOV.UK.pdf",UK
135,"INTM450021 - Transfer pricing records_ Permanent Establishments - HMRC internal manual - GOV.UK.pdf",UK
136,"INTM450030 - Transfer pricing records_ who has the record keeping obligation_ - HMRC internal manual - GOV.UK.pdf",UK
137,"INTM450040 - Transfer pricing records_ frequency of review - HMRC internal manual - GOV.UK.pdf",UK
138,"INTM450050 - Transfer pricing records_ when to provide the specified transfer pricing records - HMRC internal manual - GOV.UK.pdf",UK
139,"INTM450060 - Transfer pricing records_ possession or power - HMRC internal manual - GOV.UK.pdf",UK
140,"INTM450070 - Transfer pricing records_ failure to keep and preserve the specified transfer pricing records - HMRC internal manual - GOV.UK.pdf",UK
141,"INTM450080 - Transfer pricing records_ where an MNE group does not meet the CbCR threshold - HMRC internal manual - GOV.UK.pdf",UK
142,"INTM450090 - Transfer pricing records_ master file - HMRC internal manual - GOV.UK.pdf",UK
143,"INTM450100 - Transfer pricing records_ local file - HMRC internal manual - GOV.UK.pdf",UK
144,"INTM450101 - Transfer pricing records_ controlled transactions - HMRC internal manual - GOV.UK.pdf",UK
145,"INTM450102 - Transfer pricing records_ categories of transactions - HMRC internal manual - GOV.UK.pdf",UK
146,"INTM450103 - Transfer pricing records_ aggregation of financial transactions - HMRC internal manual - GOV.UK.pdf",UK
147,"INTM450104 - Transfer pricing records_ materiality of a category of controlled transactions - HMRC internal manual - GOV.UK.pdf",UK
148,"INTM450105 - Transfer pricing records_ local file exemptions - UK to UK transactions - HMRC internal manual - GOV.UK.pdf",UK
149,"INTM450106 - Transfer pricing records_ local file exemptions - Advance Pricing Agreement (APAs) - HMRC internal manual - GOV.UK.pdf",UK
150,"INTM480510 - Transfer Pricing_ Operational guidance_ scope of the operational guidance - HMRC internal manual - GOV.UK.pdf",UK
151,"INTM480520 - Transfer pricing_ Operational guidance_ alternatives to consider before transfer pricing - HMRC internal manual - GOV.UK.pdf",UK
152,"INTM480530 - Transfer Pricing_ Operational guidance_ giving transfer pricing advice to customers - HMRC internal manual - GOV.UK.pdf",UK
153,"INTM480540 - Transfer Pricing_ Operational guidance_ real time working of transfer pricing issues (excluding thin capitalisation) - HMRC internal manual - GOV.UK.pdf",UK
154,"INTM480550 - Transfer Pricing_ Operational guidance_ real time working of transfer pricing issues_ thin capitalisation - HMRC internal manual - GOV.UK.pdf",UK
155,"INTM481010 - Transfer pricing_ operational guidance_ governance_ introduction - HMRC internal manual - GOV.UK.pdf",UK
156,"INTM481020 - Transfer pricing_ operational guidance_ governance_ what types of enquiry are within the governance_ - HMRC internal manual - GOV.UK.pdf",UK
157,"INTM481030 - Transfer pricing_ operational guidance_ governance_ the stages of an enquiry - HMRC internal manual - GOV.UK.pdf",UK
158,"INTM481040 - Transfer pricing_ operational guidance_ governance_ the selection stage - HMRC internal manual - GOV.UK.pdf",UK
159,"INTM481050 - Transfer pricing_ operational guidance_ governance_ the progress stage - HMRC internal manual - GOV.UK.pdf",UK
160,"INTM481060 - Transfer pricing_ operational guidance_ governance_ the resolution stage - HMRC internal manual - GOV.UK.pdf",UK
161,"INTM481070 - Transfer pricing_ operational guidance_ governance_ the Transfer Pricing Group - HMRC internal manual - GOV.UK.pdf",UK
162,"INTM481080 - Transfer pricing_ operational guidance_ governance_ case teams and the wider transfer pricing community - HMRC internal manual - GOV.UK.pdf",UK
163,"INTM482010 - Transfer pricing_ risk assessment_ introduction - HMRC internal manual - GOV.UK.pdf",UK
164,"INTM482020 - Transfer pricing_ risk assessment_ issues to consider before starting a transfer pricing enquiry_ resources - HMRC internal manual - GOV.UK.pdf",UK
165,"INTM482030 - Transfer pricing_ risk assessment_ issues to consider before starting a transfer pricing enquiry_ tax at risk - HMRC internal manual - GOV.UK.pdf",UK
166,"INTM482040 - Transfer pricing_ risk assessment_ transfer pricing risk indicators_ general - HMRC internal manual - GOV.UK.pdf",UK
167,"INTM482050 - Transfer pricing_ risk assessment_ transfer pricing risk indicators_ effective tax rates - HMRC internal manual - GOV.UK.pdf",UK
168,"INTM482060 - Transfer pricing_ risk assessment_ transfer pricing risk indicators_ transfer pricing rules in other countries - HMRC internal manual - GOV.UK.pdf",UK
169,"INTM482070 - Transfer pricing_ risk assessment_ transfer pricing risk indicators_ comparing the results of the company and the group - HMRC internal manual - GOV.UK.pdf",UK
170,"INTM482080 - Transfer pricing_ risk assessment_ transfer pricing risk indicators_ losses over a number of years - HMRC internal manual - GOV.UK.pdf",UK
171,"INTM482090 - Transfer pricing_ risk assessment_ transfer pricing risk indicators_ payment of significant management or service fees - HMRC internal manual - GOV.UK.pdf",UK
172,"INTM482100 - Transfer pricing_ risk assessment_ transfer pricing risk indicators_ payment of royalties - HMRC internal manual - GOV.UK.pdf",UK
173,"INTM482110 - Transfer pricing_ risk assessment_ transfer pricing risk indicators_ ownership of intellectual property - HMRC internal manual - GOV.UK.pdf",UK
174,"INTM482120 - Transfer pricing_ risk assessment_ transfer pricing risk indicators_ business reorganisations - HMRC internal manual - GOV.UK.pdf",UK
175,"INTM482130 - Transfer pricing_ risk assessment_ conducting a transfer pricing risk assessment_ detailed process - HMRC internal manual - GOV.UK.pdf",UK
176,"INTM482140 - Transfer pricing_ risk assessment_ conducting a transfer pricing risk assessment_ review of information from other sources - HMRC internal manual - GOV.UK.pdf",UK
177,"INTM482150 - Transfer pricing_ risk assessment_ conducting a transfer pricing risk assessment_ lack of information - HMRC internal manual - GOV.UK.pdf",UK
178,"INTM482160 - Transfer pricing_ risk assessment_ conducting a transfer pricing risk assessment_ range of issues - HMRC internal manual - GOV.UK.pdf",UK
179,"INTM482170 - Transfer pricing_ risk assessment_ summary and conclusions - HMRC internal manual - GOV.UK.pdf",UK
180,"INTM483010 - Transfer pricing_ operational guidance_ working a transfer pricing case_ opening the case - HMRC internal manual - GOV.UK.pdf",UK
181,"INTM483020 - Transfer pricing_ operational guidance_ working a transfer pricing case_ working the case - HMRC internal manual - GOV.UK.pdf",UK
182,"INTM483030 - Transfer pricing_ operational guidance_ working a transfer pricing case_ transfer pricing documentation - HMRC internal manual - GOV.UK.pdf",UK
183,"INTM483040 - Transfer pricing_ operational guidance_ working a transfer pricing case_ initial information request - HMRC internal manual - GOV.UK.pdf",UK
184,"INTM483050 - Transfer pricing_ operational guidance_ working a transfer pricing case_ dealing with the initial response - HMRC internal manual - GOV.UK.pdf",UK
185,"INTM483060 - Transfer pricing_ operational guidance_ working a transfer pricing case_ Exchange of information - HMRC internal manual - GOV.UK.pdf",UK
186,"INTM483070 - Transfer pricing_ operational guidance_ working a transfer pricing case_ reaching a settlement - HMRC internal manual - GOV.UK.pdf",UK
187,"INTM483080 - Transfer pricing_ operational guidance_ working a transfer pricing case_ how many years_ - HMRC internal manual - GOV.UK.pdf",UK
188,"INTM483090 - Transfer pricing_ operational guidance_ working a transfer pricing case_ assessments and enquiry closure notices - HMRC internal manual - GOV.UK.pdf",UK
189,"INTM483100 - Transfer pricing_ operational guidance_ working a transfer pricing case_ interest - HMRC internal manual - GOV.UK.pdf",UK
190,"INTM483110 - Transfer pricing_ operational guidance_ working a transfer pricing case_ penalties - HMRC internal manual - GOV.UK.pdf",UK
191,"INTM483120 - Transfer pricing_ operational guidance_ working a transfer pricing case_ penalties_ negligence or carelessness - HMRC internal manual - GOV.UK.pdf",UK
192,"INTM483130 - Transfer pricing_ operational guidance_ working a transfer pricing case_ after the settlement - HMRC internal manual - GOV.UK.pdf",UK
193,"INTM484010 - Transfer pricing_ operational guidance_ examining transfer pricing reports_ overview - HMRC internal manual - GOV.UK.pdf",UK
194,"INTM484020 - Transfer pricing_ operational guidance_ examining transfer pricing reports_ report contents - HMRC internal manual - GOV.UK.pdf",UK
195,"INTM484030 - Transfer pricing_ operational guidance_ examining transfer pricing reports_ legislation - HMRC internal manual - GOV.UK.pdf",UK
196,"INTM484040 - Transfer pricing_ operational guidance_ examining transfer pricing reports_ information in a report_ functional analysis - HMRC internal manual - GOV.UK.pdf",UK
197,"INTM484050 - Transfer pricing_ operational guidance_ examining transfer pricing reports_ what transactions are covered_ - HMRC internal manual - GOV.UK.pdf",UK
198,"INTM484060 - Transfer pricing_ operational guidance_ examining transfer pricing reports_ OECD methodologies - HMRC internal manual - GOV.UK.pdf",UK
199,"INTM484070 - Transfer pricing_ operational guidance_ examining transfer pricing reports_ OECD methods - HMRC internal manual - GOV.UK.pdf",UK
200,"INTM484080 - Transfer pricing_ operational guidance_ examining transfer pricing reports_ using other methods - HMRC internal manual - GOV.UK.pdf",UK
201,"INTM484090 - Transfer pricing_ operational guidance_ examining transfer pricing reports_ arm’s length range - HMRC internal manual - GOV.UK.pdf",UK
202,"INTM484100 - Transfer pricing_ operational guidance_ examining transfer pricing reports_ dealing with global transfer pricing - HMRC internal manual - GOV.UK.pdf",UK
203,"INTM485010 - Transfer pricing operational guidance_ Evidence gathering_ Overview - HMRC internal manual - GOV.UK.pdf",UK
204,"INTM485020 - Transfer pricing operational guidance_ Evidence gathering_ Establish the facts - HMRC internal manual - GOV.UK.pdf",UK
205,"INTM485021 - Transfer pricing operational guiance_ Comparability Analysis - HMRC internal manual - GOV.UK.pdf",UK
206,"INTM485022 - Transfer prcing operational guidance_ Accurate delineation of the actual transaction_ Economically relevant characteristics - HMRC internal manual - GOV.UK.pdf",UK
207,"INTM485023 - Transfer pricing operational guidance_ Accurate delineation of the actual transaction_ Risk allocation - HMRC internal manual - GOV.UK.pdf",UK
208,"INTM485024 - Transfer pricing operational guidance_ Accurate delineation of the actual transaction_ Full process - HMRC internal manual - GOV.UK.pdf",UK
209,"INTM485025 - Transfer pricing operational guidance_ Accurate delineation of the actual transaction_ Risk - HMRC internal manual - GOV.UK.pdf",UK
210,"INTM485030 - Transfer pricing operational guidance_ Evidence gathering_ Using the most appropriate method - HMRC internal manual - GOV.UK.pdf",UK
211,"INTM485040 - Transfer pricing operational guidance_ Evidence gathering_ Using a test year - HMRC internal manual - GOV.UK.pdf",UK
212,"INTM485050 - Transfer pricing operational guidance_ Evidence gathering_ Bargaining power - HMRC internal manual - GOV.UK.pdf",UK
213,"INTM485060 - Transfer pricing operational guidance_ Evidence gathering_ Searching for comparables - HMRC internal manual - GOV.UK.pdf",UK
214,"INTM485070 - Transfer pricing operational guidance_ Evidence gathering_ Searching for comparables_ internal comparables - HMRC internal manual - GOV.UK.pdf",UK
215,"INTM485080 - Transfer pricing operational guidance_ Evidence gathering__ Searching for comparables_ public information - HMRC internal manual - GOV.UK.pdf",UK
216,"INTM485090 - Transfer pricing operational guidance_ Evidence gathering__ Searching for comparables_ UK or global companies_ - HMRC internal manual - GOV.UK.pdf",UK
217,"INTM485100 - Transfer pricing operational guidance_ Evidence gathering_ Searching for comparables_ using commercial databases - HMRC internal manual - GOV.UK.pdf",UK
218,"INTM485110 - Transfer pricing operational guidance_ Evidence gathering_ Searching for comparables_ making adjustments to potential comparables - HMRC internal manual - GOV.UK.pdf",UK
219,"INTM485120 - Transfer pricing operational guidance_ Evidence gathering_ Searching for comparables_ range of results - HMRC internal manual - GOV.UK.pdf",UK
220,"INTM485130 - Transfer pricing operational guidance_ Evidence gathering_ Industry standards - HMRC internal manual - GOV.UK.pdf",UK
221,"INTM485140 - Transfer pricing operational guidance_ Evidence gathering_ General research - HMRC internal manual - GOV.UK.pdf",UK
